noteguid,title,locationdescription
602da671-7156-4235-9157-e67166a039e3,67933,5 - Residential Intersection (66 Ft ROW 45 Deg Angle)
c6a3572e-e793-4e0c-b8a2-eec15456a3c8,107162,3 - Residential Modern (66ft ROWStaggered)
25b9e2f1-ef48-4f39-ae2b-4ad659578253,237899,5 - Residential Intersection (66 Ft ROW 45 Deg Angle)
d4286431-b3ae-4562-820b-4dc332967c7c,109749,5 - Residential Intersection (66 Ft ROW 45 Deg Angle)
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
